TSNE1,TSNE2,Cluster
81.31531,-6.0468564,0
19.54235,76.02118,0
19.58123,75.83899,0
-4.368084,-88.95396,0
17.53171,-51.454918,0
16.607767,42.630524,0
17.672808,41.26214,0
16.103245,85.06944,0
15.991636,84.94666,0
16.063953,85.11117,0
16.063953,85.11117,0
15.975174,86.441086,0
-33.439312,4.6687346,0
-46.40286,-50.06298,0
-49.486927,-33.354652,0
-92.381714,-54.541588,0
-56.391747,-70.983986,0
115.76628,-13.466538,0
79.39513,-20.529682,0
79.39464,-20.529871,0
79.394226,-20.530138,0
-36.085907,5.6502523,0
43.222515,49.565777,0
11.029095,75.82531,0
68.6449,33.296494,0
53.184017,66.40891,-1
53.39907,67.13296,-1
0.9092762,42.70317,0
114.80064,62.443363,0
-11.655578,80.8451,0
-11.909112,81.136086,0
79.90507,-56.282978,0
30.546125,-77.54204,0
44.086777,-80.29925,0
53.797478,-93.93989,0
31.44635,-111.64664,0
54.313393,-92.50608,0
7.5306196,-79.00566,0
53.797478,-93.93989,0
52.82674,-90.153595,0
-14.9880705,-102.2114,0
-8.36553,-101.649704,0
42.567432,-60.93871,0
52.375847,-89.02049,0
-8.86183,-102.96239,0
-22.326082,-9.084821,0
-32.519535,-95.37007,0
-32.512897,-95.38244,0
59.582207,-93.02021,0
-82.10739,86.207756,0
-83.79602,31.107819,0
11.703816,-67.6637,0
69.176254,47.355045,0
-45.55599,-41.32018,0
-47.435013,-1.8616927,0
-46.559845,-53.115513,0
-22.72515,-58.35438,0
23.69344,1.7506694,0
-54.14098,-70.61481,0
26.262962,-111.74337,0
-27.959206,4.9056754,0
19.74322,-24.995436,0
53.921436,-82.895706,0
26.844938,-51.365414,0
13.260863,69.82576,0
86.01674,-13.675317,0
85.88972,-13.983977,0
85.91602,-13.837506,0
81.23649,19.382957,0
69.942635,-95.09772,0
47.303192,-86.57453,0
-109.018166,6.9605346,0
-5.7041826,64.19353,-1
26.823149,57.498215,0
-22.691572,-26.529493,0
-30.415789,26.704111,0
-37.050426,9.255459,0
-19.565586,-18.566362,0
14.37272,93.20781,0
58.53556,15.880582,0
-13.554701,46.852833,0
-18.170359,86.81328,0
5.6792912,75.28644,0
-25.381952,97.48043,0
5.6893277,75.28715,-1
82.64768,-6.732389,0
82.630875,-6.6866775,0
82.72963,-7.0043726,0
5.6893387,75.28862,-1
78.32768,-25.268183,0
-20.80565,103.52749,-1
-20.936754,103.2541,0
-21.061005,103.859856,-1
-20.93705,103.25324,0
12.6216135,38.21738,0
5.617993,75.23843,-1
5.6196375,75.24436,-1
-48.43535,-1.047348,0
79.39513,-20.529682,0
83.3821,-16.390955,0
79.39564,-20.52976,0
86.88693,-10.579107,0
77.007225,-17.139305,0
25.018839,-38.129208,0
25.851261,-34.62752,0
15.565751,40.427807,0
15.565751,40.427807,0
17.835323,42.536644,0
79.39447,-20.529552,0
16.22121,45.038944,0
15.959146,40.84847,0
79.39471,-20.529646,0
75.07549,-86.14346,0
31.02355,-111.48912,0
82.625824,-6.0685453,0
-39.221367,-18.610527,0
47.422962,51.212383,0
85.91045,-13.798474,0
110.07785,30.004519,0
-32.203754,6.9442763,0
43.562004,82.24632,0
85.09937,-80.31018,0
111.548065,-24.53496,0
111.537544,-24.531544,0
111.53723,-24.532518,0
111.5372,-24.532507,0
111.54804,-24.535017,0
111.53715,-24.53246,0
96.01,-16.00999,0
111.53717,-24.532454,0
111.548065,-24.53496,0
111.548065,-24.53496,0
15.381003,-110.656555,0
-40.779854,-92.47535,0
49.169754,-93.404076,0
24.971418,-110.84267,0
-40.779465,-92.47594,0
1.3544827,48.407894,0
83.36965,-8.399674,0
-69.68249,-77.8132,0
-63.266296,-86.99776,0
0.30432597,83.6954,-1
-37.040497,-99.72198,0
114.582405,8.347488,0
-119.38936,7.6391683,-1
42.113045,-70.812904,0
44.176437,-68.28449,0
76.393745,-55.599937,0
75.07349,-12.5688505,0
72.55861,-59.314392,0
73.5209,-59.90934,0
85.450264,-75.021645,0
42.49032,-70.45999,0
73.519066,-59.912487,0
-27.918682,-31.722809,0
-46.87778,-53.329548,0
43.466026,-64.75295,0
-52.79695,-48.293144,0
-52.686783,-48.51926,0
-18.398369,-45.06198,0
42.11069,-70.81344,0
80.51555,-59.520046,0
-52.8249,-48.415573,0
-52.79695,-48.293144,0
45.33294,49.996082,0
45.33308,49.995766,0
18.433283,95.21385,-1
15.903639,85.75867,0
16.222416,43.879684,0
13.3003645,39.692554,0
